tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00002,S-0066,2013-07-07,0,0,Yes,1,21.9059330191461
TA-00004,S-0066,2013-07-07,0,0,Yes,1,21.9727024365273
TA-00005,S-0066,2013-09-01,0,0,Yes,1,28.3742203279491
TA-00012,S-0066,2013-08-11,0,0,Yes,1,22.4150498266777
TA-00014,S-0066,2013-03-17,0,0,Yes,1,21.9949589089877
TA-00024,S-0066,2013-08-01,0,0,Yes,1,20.9349944080613
TA-00025,S-0066,2013-08-01,0,0,Yes,1,20.7819811598961
TA-00052,S-0066,2013-10-01,0,0,Yes,1,29.5593774864653
TA-00056,S-0066,2013-09-01,0,0,Yes,1,28.646862115589
TA-00061,S-0066,2013-06-01,0,0,Yes,1,21.3217006170607
TA-00076,S-0066,2013-08-11,0,0,Yes,1,22.5068577755769
TA-00078,S-0066,2013-06-01,0,0,Yes,1,21.6054706409308
TA-00080,S-0066,2013-08-11,0,0,Yes,1,21.5387012235496
TA-00082,S-0066,2013-08-11,0,0,Yes,1,21.4914062195712
TA-00083,S-0066,2013-06-01,0,0,Yes,1,21.4914062195712
TA-00084,S-0066,2013-08-11,0,0,Yes,1,21.5971244637581
TA-00085,S-0066,2013-06-01,0,0,Yes,1,21.5637397550675
TA-00086,S-0066,2013-08-11,0,0,Yes,1,21.1909438413559
TA-00087,S-0066,2013-06-01,0,0,Yes,1,21.2159823728738
TA-00091,S-0066,2013-06-01,0,0,Yes,1,21.5387012235496
TA-00092,S-0066,2013-06-01,0,0,Yes,1,21.5720859322402
TA-00093,S-0066,2013-06-01,0,0,Yes,1,21.5971244637581
TA-00096,S-0066,2013-06-01,0,0,Yes,1,21.3801238572692
TA-00099,S-0066,2013-10-01,0,0,Yes,1,27.3420764175982
TA-00108,S-0066,2013-10-01,0,0,Yes,1,31.2369590981677
TA-00119,S-0066,2013-07-01,0,0,Yes,1,21.6555477039667
TA-00120,S-0066,2013-07-01,0,0,Yes,1,21.4663676880533
TA-00121,S-0066,2013-07-01,0,0,Yes,1,21.4663676880533
TA-00123,S-0066,2013-09-01,0,0,Yes,1,28.5244515170568
TA-00125,S-0066,2013-10-01,0,0,Yes,1,28.5717465210351
TA-00130,S-0054,2001-04-10,0,0,Yes,1,14.1551164848127
TA-00132,S-0066,2013-10-01,0,0,Yes,1,28.2351173750716
TA-00145,S-0066,2013-06-01,0,0,Yes,1,21.9921768499302
