tube_assembly_id,diameter,wall,length,num_bends,bend_radius,cost
TA-00002,6.35,0.71,137,8,19.05,21.9059330191461
TA-00004,6.35,0.71,137,9,19.05,21.9727024365273
TA-00005,19.05,1.24,109,4,50.8,28.3742203279491
TA-00012,6.35,0.71,207,7,19.05,22.4150498266777
TA-00014,12.7,0.89,96,4,38.1,21.9949589089877
TA-00024,9.52,0.71,99,2,31.75,20.9349944080613
TA-00025,9.52,0.71,65,3,31.75,20.7819811598961
TA-00031,9.52,0.89,52,3,19.05,25.0190571045442
TA-00034,25.4,1.65,55,2,50.8,94.0252499680063
TA-00054,9.52,1.24,92,8,31.75,38.7874673803575
TA-00056,15.88,1.65,128,5,38.1,28.646862115589
TA-00058,6.35,0.71,50,6,19.05,11.9155589434853
TA-00061,6.35,0.71,107,3,19.05,21.3217006170607
TA-00076,6.35,0.71,218,7,19.05,22.5068577755769
TA-00077,21.7,2.8,92,4,55,35.3043294403054
TA-00078,6.35,0.71,133,4,19.05,21.6054706409308
TA-00080,6.35,0.71,125,4,19.05,21.5387012235496
TA-00082,6.35,0.71,103,6,19.05,21.4914062195712
TA-00083,6.35,0.71,103,6,19.05,21.4914062195712
TA-00084,6.35,0.71,132,4,19.05,21.5971244637581
TA-00085,6.35,0.71,128,4,19.05,21.5637397550675
TA-00086,6.35,0.71,83,4,19.05,21.1909438413559
TA-00087,6.35,0.71,86,4,19.05,21.2159823728738
TA-00091,6.35,0.71,125,4,19.05,21.5387012235496
TA-00092,6.35,0.71,129,4,19.05,21.5720859322402
TA-00093,6.35,0.71,132,4,19.05,21.5971244637581
TA-00096,6.35,0.71,106,4,19.05,21.3801238572692
TA-00105,41.28,1.65,83,2,101.6,107.83817318874
TA-00107,15.88,1.65,138,7,38.1,23.5584760993306
TA-00114,6.35,0.89,138,4,19.05,1.30756775704835
TA-00117,15.88,1.24,31,2,38.1,24.9912365139687
TA-00119,9.52,0.89,68,3,31.75,21.6555477039667
TA-00120,9.52,0.89,43,2,31.75,21.4663676880533
TA-00121,9.52,0.89,43,2,31.75,21.4663676880533
TA-00123,19.05,1.24,159,3,38.1,28.5244515170568
TA-00125,25.4,2.41,44,2,63.5,28.5717465210351
TA-00128,9.52,0.89,128,10,31.75,25.3362118371049
TA-00130,6.35,0.89,149,4,38.1,14.1551164848127
TA-00132,19.05,2.11,72,2,38.1,28.2351173750716
TA-00141,9.52,0.89,205,8,19.05,22.2147415745341
TA-00144,41.28,1.65,83,2,101.6,259.85544421137
TA-00145,6.35,0.71,180,4,19.05,21.9921768499302
TA-00147,6.35,0.71,189,4,19.05,22.067292444484
TA-00148,6.35,0.71,144,6,19.05,21.8280353655347
TA-00149,6.35,0.71,144,5,19.05,21.7612659481535
TA-00150,6.35,0.71,144,6,19.05,21.8280353655347
TA-00153,9.52,1.24,29,3,31.75,21.4747138652259
TA-00154,22.22,2.11,0,4,38.1,18.4645259649572
TA-00156,6.35,0.89,0,2,19.05,12.2521880894488
TA-00161,9.52,1.24,58,3,31.75,21.6277271133912
TA-00162,12.7,0.89,91,3,19.05,50.4943718945266
TA-00173,15.88,1.65,55,3,38.1,24.6907741357534
TA-00175,12.7,1.24,35,3,38.1,30.7028037591182
TA-00178,15.88,1.65,53,3,50.8,6.24572258419902
TA-00181,9.52,0.89,74,2,19.05,18.848450114899
TA-00186,6.35,0.89,109,8,12.7,22.3260239368361
TA-00190,6.35,0.71,70,7,19.05,21.2855338493126
TA-00199,6.35,0.89,160,8,19.05,22.6598710237421
TA-00201,25.4,1.65,73,4,50.8,8.00676596762796
TA-00206,15.88,1.65,125,6,38.1,17.7940497320877
TA-00207,15.88,1.65,187,9,38.1,2.19504459640669
TA-00213,15.88,1.65,171,8,38.1,3.26057321544822
TA-00216,15.88,1.24,28,1,38.1,1.65254308018451
TA-00222,9.52,0.89,24,1,31.75,21.3077903217729
TA-00228,12.7,1.65,202,8,38.1,11.8515715851616
TA-00230,12.7,1.65,192,8,38.1,13.4762940747706
TA-00239,15.88,1.65,89,4,38.1,3.51095853062769
TA-00242,9.52,0.71,117,7,25.4,29.2032739270989
TA-00252,31.75,3.05,115,4,63.5,100.735576414816
TA-00253,31.75,3.05,115,4,63.5,71.8021622162995
TA-00264,6.35,0.71,108,5,19.05,21.4635856289957
TA-00268,41.28,1.65,38,0,0,1.59968395809106
TA-00269,34.92,1.65,25,1,63.5,1.99195428520557
TA-00270,15.88,1.65,95,5,38.1,28.4159512138124
TA-00271,15.88,1.65,71,4,38.1,136.262470579725
TA-00274,12.7,1.65,96,4,38.1,22.067292444484
TA-00275,12.7,0.89,27,2,25.4,20.0113508009548
TA-00278,9.52,0.89,59,2,127,2.34249372645683
TA-00293,9.52,0.89,73,3,19.05,27.8595394023024
TA-00294,9.52,0.89,82,3,19.05,27.9040523472232
TA-00295,9.52,0.89,56,1,31.75,35.874651547103
TA-00296,9.52,0.89,60,2,31.75,21.5498294597798
TA-00297,9.52,0.89,16,1,19.05,21.2688414949673
TA-00308,19.05,1.65,65,2,50.8,22.0283436176783
TA-00309,25.4,1.65,43,3,50.8,0.868002425955498
TA-00312,9.52,0.89,18,1,31.75,21.2799697311975
TA-00314,9.52,0.89,102,7,31.75,28.2685020837622
TA-00315,9.52,0.89,106,7,31.75,28.2879764971651
TA-00316,6.35,0.89,95,2,19.05,2.82378994341292
TA-00321,22.22,2.11,75,2,38.1,27.892924110993
TA-00325,6.35,0.89,129,2,19.05,9.3811031420575
TA-00327,15.88,1.65,144,8,38.1,21.282751790255
TA-00330,9.52,0.89,90,3,127,8.64663955086438
TA-00334,12.7,1.24,28,2,25.4,21.4635856289957
TA-00335,12.7,1.24,79,5,25.4,21.9615742002971
TA-00338,9.52,1.24,58,6,19.05,21.8280353655347
TA-00349,25.4,2.41,101,4,63.5,7.84262448323253
TA-00362,12.7,1.24,185,3,38.1,14.1022573627193
TA-00363,12.7,1.24,183,3,38.1,14.1022573627193
TA-00366,12.7,1.24,138,2,38.1,7.2138791362263
TA-00367,9.52,0.89,134,9,19.05,9.16688459462618
TA-00370,6.35,0.89,91,7,12.7,22.1396259799803
TA-00371,6.35,0.89,164,11,12.7,4.76010304746749
TA-00373,76.2,1.65,41,0,0,10.0348870205817
TA-00375,12.7,1.24,69,4,38.1,19.3297463318551
TA-00383,15.88,1.65,30,2,38.1,24.445952938689
TA-00384,25.4,2.41,16,0,0,5.28591220934438
TA-00385,31.75,1.65,16,0,0,9.10846135441763
TA-00386,6.35,0.89,26,2,19.05,21.4162906250174
TA-00393,66.7,7.9,188,2,177.8,161.946439799024
TA-00394,25.4,1.65,125,4,50.8,17.6493826610951
TA-00408,6.35,0.89,24,5,19.05,3.07417525859239
TA-00412,15.88,1.65,103,8,31.75,1.39659364688994
TA-00418,6.35,2.26,96,14,19.05,5.9257857925808
TA-00420,6.35,2.26,96,13,19.05,5.1412451383518
TA-00421,6.35,2.26,96,14,19.05,5.1412451383518
TA-00422,6.35,2.26,96,10,19.05,5.1412451383518
TA-00424,6.35,2.26,96,11,19.05,4.88529570505723
TA-00425,6.35,2.26,96,10,19.05,4.88529570505723
TA-00426,6.35,2.26,96,8,19.05,4.54032038192107
TA-00429,6.35,2.26,96,9,19.05,4.54032038192107
TA-00434,25.4,1.65,45,2,63.5,3.06026496330464
TA-00440,25.4,2.41,129,4,50.8,29.4981721871992
TA-00441,25.4,2.41,113,4,63.5,23.408244910223
TA-00447,15.88,1.65,81,2,31.75,1.67758161170245
TA-00448,15.88,1.65,85,4,31.75,1.83337691892523
TA-00449,15.88,1.65,49,0,0,1.07109273715662
TA-00452,15.88,1.65,91,4,31.75,1.32426011139364
TA-00453,6.35,0.71,58,3,19.05,15.3736583520195
TA-00458,25.4,1.65,27,1,63.5,21.7640480072111
TA-00461,25.4,1.65,40,2,63.5,21.9114971372612
TA-00463,25.4,1.65,190,6,63.5,18.9402580637982
TA-00471,9.52,0.89,54,3,19.05,21.5887782865855
TA-00472,9.52,0.89,29,3,19.05,21.4663676880533
TA-00474,6.35,0.89,94,4,19.05,13.0200363893325
TA-00487,15.88,1.65,137,10,31.75,5.49456663866061
TA-00488,15.88,1.65,142,6,38.1,28.8110035999844
TA-00489,15.88,1.65,104,5,38.1,28.479938572136
TA-00492,15.88,1.65,221,10,38.1,29.6344930810191
TA-00493,15.88,1.65,185,9,38.1,29.3145562894009
TA-00494,15.88,1.65,214,10,38.1,29.5844160179832
TA-00495,15.88,1.65,201,10,38.1,29.4926080690841
TA-00497,15.88,1.65,193,6,38.1,25.483660967155
TA-00500,15.88,1.65,43,2,38.1,27.9791679417771
TA-00501,15.88,1.65,107,6,31.75,2.11992900185285
TA-00503,15.88,1.65,172,6,31.75,12.152033963377
TA-00506,12.7,1.65,69,5,19.05,3.4441891132465
TA-00511,12.7,1.24,34,2,25.4,24.0036055485386
TA-00517,19.05,1.65,129,6,38.1,21.8642021332829
TA-00520,19.05,1.65,66,3,38.1,21.282751790255
TA-00527,9.52,0.89,26,2,31.75,24.587837950624
TA-00530,25.4,1.65,82,2,50.8,400.978171964634
TA-00533,12.7,1.65,89,6,25.4,4.18699888161226
TA-00541,6.35,0.89,30,2,19.05,19.1489124931144
TA-00544,6.35,0.89,58,3,19.05,21.6944965307724
TA-00546,9.52,0.71,208,8,31.75,28.9111577260562
TA-00554,12.7,1.24,75,5,38.1,30.1408278294932
TA-00562,9.52,0.89,58,7,19.05,20.0196969781274
TA-00567,6.35,0.89,33,2,19.05,18.5507697957412
TA-00569,19.05,2.11,96,5,38.1,28.591220934438
TA-00586,9.52,0.89,46,2,31.75,27.6035899690079
TA-00604,25.4,1.65,44,2,50.8,76.0726228696383
TA-00610,9.52,0.89,41,2,31.75,21.449675333708
TA-00621,12.7,1.65,29,2,19.05,27.133421988282
TA-00623,12.7,1.65,24,2,19.05,27.0972552205338
TA-00653,34.92,1.65,23,0,0,17.2376379205778
TA-00655,6.35,0.89,126,7,19.05,22.2592545194549
TA-00656,12.7,1.24,120,7,38.1,22.1340618618652
TA-00662,15.88,1.65,69,4,38.1,28.1655658986329
TA-00674,34.92,1.65,26,0,0,3.78360031826756
TA-00678,19.05,1.65,172,4,50.8,28.9389783166317
TA-00679,15.88,1.65,213,9,38.1,29.5120824824869
TA-00681,15.88,1.65,187,9,38.1,29.3284665846887
TA-00688,6.35,0.89,12,1,19.05,20.3591081831485
TA-00691,9.52,1.65,40,6,19.05,21.7918685977866
TA-00695,15.88,0.89,143,3,38.1,21.9727024365273
