tube_assembly_id,diameter,wall,length,num_bends,bend_radius,cost
TA-00021,6.35,2.375,81,6,19.05,3.4330608770163
TA-00022,12.7,0.89,101,6,25.4,8.5631777791379
TA-00027,6.35,0.89,105,5,19.05,2.73754611262888
TA-00037,9.52,0.71,29,4,19.05,1.56351719034292
TA-00047,12.7,1.24,130,6,38.1,7.83427830605988
TA-00048,25.4,1.65,70,2,50.8,2.94063642383
TA-00062,9.52,0.89,53,5,31.75,2.37587843514742
TA-00063,9.52,0.89,12,1,31.75,1.54960689505517
TA-00064,25.4,1.65,89,5,50.8,2.18391636017649
TA-00066,12.7,0.89,3,0,0,1.26305481212755
TA-00088,21.7,2.8,131,6,55,7.56163651842001
TA-00101,6.35,0.89,94,2,76.2,7.09425059675167
TA-00168,9.52,0.89,93,5,19.05,3.04079054990179
TA-00180,9.52,1.24,199,1,31.75,11.7347251047445
TA-00211,15.88,1.65,91,3,38.1,6.88559616743544
TA-00214,15.88,1.65,104,5,38.1,11.4509550808745
TA-00215,12.7,1.65,134,7,38.1,8.1263945071026
TA-00218,6.35,0.89,171,8,19.05,9.3477184333669
TA-00219,6.35,0.89,161,8,19.05,7.08034030146392
TA-00243,9.52,0.71,121,8,25.4,1.41328600123523
TA-00248,9.52,1.24,13,2,19.05,3.68622825125332
TA-00254,15.88,1.65,90,2,31.75,8.0596250897214
TA-00282,15.88,1.65,88,4,38.1,10.1461693828837
TA-00283,9.52,0.89,62,10,19.05,1.58299160374576
TA-00285,19.05,1.65,106,4,38.1,1.59133778091841
TA-00324,6.35,0.89,127,9,19.05,5.91465755635061
TA-00332,34.92,1.65,101,3,63.5,1.37990129254464
TA-00351,19.05,1.65,256,4,50.8,23.216282835252
TA-00353,9.52,1.65,51,4,31.75,6.31527406063776
TA-00354,15.88,1.65,91,3,31.75,7.82036801077213
TA-00356,15.88,1.65,169,6,50.8,8.26827951903763
TA-00358,15.88,1.65,211,7,31.75,6.62408261602577
TA-00365,9.52,0.89,175,3,31.75,14.0327058862806
TA-00372,25.4,3.05,159,0,0,12.9866516806419
TA-00398,15.88,0.89,72,2,50.8,5.90352932012041
TA-00400,15.88,0.89,47,2,38.1,5.90352932012041
TA-00402,9.52,0.71,45,2,19.05,1.83615897798278
TA-00414,15.88,1.65,159,10,31.8,12.015713069557
TA-00416,19.05,1.65,158,4,50.8,12.936574617606
TA-00417,19.05,1.65,81,1,50.8,5.84510607991186
TA-00436,25.4,1.65,12,0,0,1.43554247369563
TA-00446,15.88,1.65,89,4,31.75,4.10631916894332
TA-00485,12.7,0.89,39,2,25.4,1.79999221023464
