tube_assembly_id,diameter,wall,length,num_bends,bend_radius,cost
TA-00002,6.35,0.71,137,8,19.05,21.9059330191461
TA-00004,6.35,0.71,137,9,19.05,21.9727024365273
TA-00005,19.05,1.24,109,4,50.8,28.3742203279491
TA-00012,6.35,0.71,207,7,19.05,22.4150498266777
TA-00014,12.7,0.89,96,4,38.1,21.9949589089877
TA-00024,9.52,0.71,99,2,31.75,20.9349944080613
TA-00025,9.52,0.71,65,3,31.75,20.7819811598961
TA-00056,15.88,1.65,128,5,38.1,28.646862115589
TA-00061,6.35,0.71,107,3,19.05,21.3217006170607
TA-00076,6.35,0.71,218,7,19.05,22.5068577755769
TA-00078,6.35,0.71,133,4,19.05,21.6054706409308
TA-00080,6.35,0.71,125,4,19.05,21.5387012235496
TA-00082,6.35,0.71,103,6,19.05,21.4914062195712
TA-00083,6.35,0.71,103,6,19.05,21.4914062195712
TA-00084,6.35,0.71,132,4,19.05,21.5971244637581
TA-00085,6.35,0.71,128,4,19.05,21.5637397550675
TA-00086,6.35,0.71,83,4,19.05,21.1909438413559
TA-00087,6.35,0.71,86,4,19.05,21.2159823728738
TA-00091,6.35,0.71,125,4,19.05,21.5387012235496
TA-00092,6.35,0.71,129,4,19.05,21.5720859322402
TA-00093,6.35,0.71,132,4,19.05,21.5971244637581
TA-00096,6.35,0.71,106,4,19.05,21.3801238572692
TA-00119,9.52,0.89,68,3,31.75,21.6555477039667
TA-00120,9.52,0.89,43,2,31.75,21.4663676880533
TA-00121,9.52,0.89,43,2,31.75,21.4663676880533
TA-00123,19.05,1.24,159,3,38.1,28.5244515170568
TA-00125,25.4,2.41,44,2,63.5,28.5717465210351
TA-00130,6.35,0.89,149,4,38.1,14.1551164848127
TA-00132,19.05,2.11,72,2,38.1,28.2351173750716
TA-00145,6.35,0.71,180,4,19.05,21.9921768499302
TA-00147,6.35,0.71,189,4,19.05,22.067292444484
TA-00148,6.35,0.71,144,6,19.05,21.8280353655347
TA-00149,6.35,0.71,144,5,19.05,21.7612659481535
TA-00150,6.35,0.71,144,6,19.05,21.8280353655347
TA-00153,9.52,1.24,29,3,31.75,21.4747138652259
TA-00161,9.52,1.24,58,3,31.75,21.6277271133912
TA-00175,12.7,1.24,35,3,38.1,30.7028037591182
TA-00190,6.35,0.71,70,7,19.05,21.2855338493126
TA-00222,9.52,0.89,24,1,31.75,21.3077903217729
TA-00264,6.35,0.71,108,5,19.05,21.4635856289957
TA-00270,15.88,1.65,95,5,38.1,28.4159512138124
TA-00293,9.52,0.89,73,3,19.05,27.8595394023024
TA-00294,9.52,0.89,82,3,19.05,27.9040523472232
TA-00296,9.52,0.89,60,2,31.75,21.5498294597798
TA-00297,9.52,0.89,16,1,19.05,21.2688414949673
TA-00312,9.52,0.89,18,1,31.75,21.2799697311975
TA-00314,9.52,0.89,102,7,31.75,28.2685020837622
TA-00315,9.52,0.89,106,7,31.75,28.2879764971651
TA-00334,12.7,1.24,28,2,25.4,21.4635856289957
TA-00335,12.7,1.24,79,5,25.4,21.9615742002971
TA-00338,9.52,1.24,58,6,19.05,21.8280353655347
TA-00370,6.35,0.89,91,7,12.7,22.1396259799803
TA-00386,6.35,0.89,26,2,19.05,21.4162906250174
TA-00393,66.7,7.9,188,2,177.8,161.946439799024
TA-00440,25.4,2.41,129,4,50.8,29.4981721871992
TA-00441,25.4,2.41,113,4,63.5,23.408244910223
TA-00458,25.4,1.65,27,1,63.5,21.7640480072111
TA-00461,25.4,1.65,40,2,63.5,21.9114971372612
TA-00463,25.4,1.65,190,6,63.5,18.9402580637982
TA-00471,9.52,0.89,54,3,19.05,21.5887782865855
TA-00472,9.52,0.89,29,3,19.05,21.4663676880533
TA-00488,15.88,1.65,142,6,38.1,28.8110035999844
TA-00489,15.88,1.65,104,5,38.1,28.479938572136
TA-00492,15.88,1.65,221,10,38.1,29.6344930810191
TA-00493,15.88,1.65,185,9,38.1,29.3145562894009
TA-00494,15.88,1.65,214,10,38.1,29.5844160179832
TA-00495,15.88,1.65,201,10,38.1,29.4926080690841
TA-00497,15.88,1.65,193,6,38.1,25.483660967155
TA-00500,15.88,1.65,43,2,38.1,27.9791679417771
TA-00511,12.7,1.24,34,2,25.4,24.0036055485386
TA-00544,6.35,0.89,58,3,19.05,21.6944965307724
TA-00546,9.52,0.71,208,8,31.75,28.9111577260562
TA-00569,19.05,2.11,96,5,38.1,28.591220934438
TA-00586,9.52,0.89,46,2,31.75,27.6035899690079
TA-00610,9.52,0.89,41,2,31.75,21.449675333708
TA-00655,6.35,0.89,126,7,19.05,22.2592545194549
TA-00656,12.7,1.24,120,7,38.1,22.1340618618652
TA-00662,15.88,1.65,69,4,38.1,28.1655658986329
TA-00678,19.05,1.65,172,4,50.8,28.9389783166317
TA-00679,15.88,1.65,213,9,38.1,29.5120824824869
TA-00681,15.88,1.65,187,9,38.1,29.3284665846887
TA-00688,6.35,0.89,12,1,19.05,20.3591081831485
TA-00695,15.88,0.89,143,3,38.1,21.9727024365273
TA-00696,15.88,0.89,100,3,38.1,21.5637397550675
TA-00697,19.05,1.24,179,3,50.8,25.5810330341692
TA-00717,12.7,0.89,72,4,38.1,28.0264629457554
TA-00731,12.7,1.65,36,1,38.1,27.6453208548711
TA-00736,19.05,1.24,100,0,0,28.0681938316187
TA-00737,19.05,1.24,205,3,50.8,28.7247597692004
TA-00740,15.88,1.24,121,4,50.8,22.3733189408145
TA-00741,15.88,1.24,122,5,50.8,22.4484345353683
TA-00742,15.88,1.24,144,7,50.8,22.7155122048931
TA-00759,12.7,1.65,101,5,38.1,22.1674465705558
TA-00761,12.7,1.65,99,6,38.1,28.393694741352
TA-00763,12.7,1.65,70,3,38.1,29.8459295693929
TA-00764,15.88,1.65,40,2,38.1,21.7779583024988
TA-00768,12.7,1.65,111,7,38.1,28.5411438714021
TA-00770,25.4,2.41,86,4,50.8,29.2783895216528
TA-00772,6.35,0.89,173,3,19.05,13.4540376023102
TA-00775,12.7,1.24,31,2,38.1,27.6536670320438
TA-00776,9.52,0.89,16,1,31.75,21.2688414949673
TA-00779,25.4,1.65,88,3,63.5,30.104661061745
TA-00790,25.4,2.41,156,5,63.5,29.8153269197599
TA-00808,25.4,2.41,98,2,50.8,25.8230721721761
TA-00832,15.88,0.89,211,6,38.1,22.8184483900224
TA-00834,19.05,2.11,78,5,38.1,28.4743744540209
TA-00847,25.4,1.24,33,0,0,22.2954212872031
TA-00850,9.52,0.89,99,1,31.75,21.672240058312
TA-00859,15.88,1.65,85,6,38.1,28.4131691547548
TA-00875,6.35,0.71,31,2,19.05,20.6289679117308
TA-00888,19.05,2.11,76,3,50.8,22.1980492201888
TA-00890,19.05,2.11,40,2,50.8,21.8975868419735
TA-00891,19.05,2.11,84,4,50.8,22.3176777596635
TA-00902,12.7,1.65,135,6,38.1,22.3872292361022
TA-00914,12.7,0.89,105,5,25.4,21.3912520934994
TA-00922,12.7,1.65,225,3,127,26.379483983686
TA-00928,25.4,1.65,143,7,63.5,27.9986423551799
TA-00930,9.52,0.89,70,3,31.75,21.6666759401969
TA-00975,12.7,1.24,80,5,25.4,21.9671383184122
TA-00981,12.7,1.24,51,3,38.1,27.837282929842
TA-00982,12.7,1.24,52,3,38.1,27.8428470479571
TA-00983,19.05,2.11,74,2,38.1,28.2490276703594
TA-00985,9.52,0.89,97,4,31.75,21.8642021332829
TA-00994,12.7,1.24,59,2,38.1,21.6444194677365
TA-00995,12.7,0.89,72,2,38.1,21.7223171213478
TA-00996,6.35,0.71,55,2,19.05,21.6221629952761
TA-00998,19.05,2.11,70,2,50.8,22.092330976002
TA-01007,9.52,0.89,41,2,31.75,21.4580215108806
TA-01033,12.7,1.24,189,5,38.1,28.7776188912938
TA-01034,9.52,0.71,62,5,31.75,27.8817958747628
TA-01040,25.4,2.41,58,2,63.5,28.70250329674
TA-01042,9.52,0.89,34,2,31.75,21.42463680219
TA-01044,9.52,0.89,28,2,31.75,21.394034152557
TA-01045,15.88,1.65,274,5,50.8,29.7735960338966
TA-01047,15.88,1.65,287,3,50.8,23.580732571791
TA-01057,19.05,3.05,131,5,50.8,29.9349554592345
TA-01061,25.4,1.65,91,2,63.5,22.2314339288794
TA-01062,25.4,1.65,76,2,63.5,22.1368439209228
TA-01066,12.7,1.24,28,2,19.05,21.4635856289957
TA-01068,6.35,0.71,24,2,19.05,21.4107265069023
TA-01071,19.05,2.11,86,6,50.8,28.5940029934955
TA-01072,19.05,2.11,26,1,50.8,27.8706676385326
TA-01074,19.05,2.11,32,1,50.8,27.9096164653383
TA-01102,15.88,1.65,190,7,31.75,25.5281739120758
TA-01118,15.88,1.24,99,5,38.1,22.3065495234333
TA-01125,25.4,3.05,47,2,50.8,22.740550736411
TA-01134,19.05,3.05,47,4,38.1,28.4215153319275
TA-01140,6.35,0.71,149,4,19.05,21.7362274166356
TA-01144,6.35,0.71,119,5,19.05,21.5553935778949
TA-01148,9.52,0.89,35,3,19.05,21.4162906250174
TA-01152,19.05,3.05,68,0,0,22.3343701140088
TA-01169,19.05,3.05,47,2,50.8,25.1025188762707
TA-01171,19.05,1.24,142,6,50.8,22.5207680708646
TA-01172,9.52,0.89,1,5,31.75,21.4635856289957
TA-01173,9.52,0.71,212,7,31.75,21.8920227238584
TA-01174,12.7,0.89,105,3,38.1,21.2577132587371
TA-01181,6.35,0.71,235,7,19.05,22.6459607284543
TA-01182,6.35,0.71,260,3,19.05,22.5875374882458
TA-01186,6.35,0.71,243,7,19.05,22.7127301458355
TA-01187,12.7,1.65,48,2,38.1,27.7371288037702
TA-01188,12.7,1.65,48,2,38.1,21.616598877161
TA-01191,9.52,0.71,214,5,31.75,21.7696121253262
TA-01195,9.52,1.65,71,5,31.75,21.9420997868943
TA-01205,6.35,0.71,88,3,19.05,21.1659053098379
TA-01229,66.7,7.9,430,5,177.8,237.298509372757
TA-01230,9.52,0.89,151,5,31.75,28.4298615091001
TA-01242,25.4,2.41,78,5,50.8,29.0752992104516
TA-01247,9.52,1.24,40,1,31.75,21.394034152557
TA-01267,6.35,0.71,89,4,19.05,21.2410209043918
TA-01268,6.35,0.71,105,3,19.05,21.3077903217729
TA-01273,6.35,0.71,72,3,19.05,21.0351485341331
TA-01274,9.52,1.24,83,6,31.75,21.956010082182
TA-01278,6.35,0.71,71,3,19.05,21.0268023569604
TA-01286,6.35,0.71,174,6,19.05,22.0756386216567
TA-01287,6.35,0.71,99,3,19.05,21.2577132587371
TA-01292,12.7,0.89,218,7,38.1,22.907474279864
