tube_assembly_id,diameter,wall,length,num_bends,bend_radius
TA-00001,12.7,1.65,164,5,38.1
TA-00002,6.35,0.71,137,8,19.05
TA-00003,6.35,0.71,127,7,19.05
TA-00004,6.35,0.71,137,9,19.05
TA-00005,19.05,1.24,109,4,50.8
TA-00006,19.05,1.24,79,4,50.8
TA-00007,12.7,1.65,202,5,38.1
TA-00008,6.35,0.71,174,6,19.05
TA-00009,25.4,1.65,135,4,63.5
TA-00010,42.7,4.8,290,4,110
TA-00011,6.35,0.71,197,7,19.05
TA-00012,6.35,0.71,207,7,19.05
TA-00014,12.7,0.89,96,4,38.1
TA-00015,12.7,0.89,147,6,25.4
TA-00016,25.4,1.65,99,4,50.8
TA-00018,25.4,1.65,81,3,63.5
TA-00020,6.35,2.375,81,9,19.05
TA-00021,6.35,2.375,81,6,19.05
TA-00022,12.7,0.89,101,6,25.4
TA-00023,9.52,0.71,52,3,19.05
TA-00024,9.52,0.71,99,2,31.75
TA-00025,9.52,0.71,65,3,31.75
TA-00027,6.35,0.89,105,5,19.05
TA-00029,15.88,1.24,94,2,50.8
TA-00030,9.52,0.89,85,4,19.05
TA-00031,9.52,0.89,52,3,19.05
TA-00032,12.7,0.89,55,2,76.2
TA-00033,9.52,0.71,89,4,31.75
TA-00034,25.4,1.65,55,2,50.8
TA-00035,15.88,1.24,101,7,38.1
TA-00036,9.52,0.89,74,5,31.75
TA-00037,9.52,0.71,29,4,19.05
TA-00038,9.52,1.24,76,4,19.05
TA-00039,6.35,0.89,22,1,19.05
TA-00040,9.52,0.71,22,1,31.75
TA-00042,15.88,1.24,109,4,50.8
TA-00043,25.4,2.41,68,1,63.5
TA-00044,12.7,1.65,36,3,38.1
TA-00045,7.94,0.89,8,2,25.4
TA-00047,12.7,1.24,130,6,38.1
TA-00048,25.4,1.65,70,2,50.8
TA-00050,9.52,0.89,45,2,31.75
TA-00053,9.52,0.71,24,3,19.05
TA-00054,9.52,1.24,92,8,31.75
TA-00055,15.88,1.65,127,5,38.1
TA-00056,15.88,1.65,128,5,38.1
TA-00057,25.4,2.41,71,3,63.5
TA-00058,6.35,0.71,50,6,19.05
TA-00060,6.35,0.71,120,3,19.05
TA-00061,6.35,0.71,107,3,19.05
TA-00062,9.52,0.89,53,5,31.75
TA-00063,9.52,0.89,12,1,31.75
TA-00064,25.4,1.65,89,5,50.8
TA-00065,25.4,3.05,193,0,0
TA-00066,12.7,0.89,3,0,0
TA-00069,6.35,2.26,98,10,19.05
TA-00071,9.52,0.89,62,3,127
TA-00075,6.35,0.71,135,6,19.05
TA-00076,6.35,0.71,218,7,19.05
TA-00077,21.7,2.8,92,4,55
TA-00078,6.35,0.71,133,4,19.05
TA-00079,6.35,0.71,129,4,19.05
TA-00080,6.35,0.71,125,4,19.05
TA-00081,6.35,0.71,121,4,19.05
TA-00082,6.35,0.71,103,6,19.05
TA-00083,6.35,0.71,103,6,19.05
TA-00084,6.35,0.71,132,4,19.05
TA-00085,6.35,0.71,128,4,19.05
TA-00086,6.35,0.71,83,4,19.05
TA-00087,6.35,0.71,86,4,19.05
TA-00088,21.7,2.8,131,6,55
TA-00089,6.35,0.71,94,4,19.05
TA-00090,6.35,0.71,122,4,19.05
TA-00091,6.35,0.71,125,4,19.05
TA-00092,6.35,0.71,129,4,19.05
TA-00093,6.35,0.71,132,4,19.05
TA-00094,6.35,0.71,122,4,19.05
TA-00095,6.35,0.71,106,2,19.05
TA-00096,6.35,0.71,106,4,19.05
TA-00097,9.52,1.65,96,5,19.05
TA-00100,9.52,0.89,41,3,19.05
TA-00101,6.35,0.89,94,2,76.2
TA-00102,6.35,0.89,40,2,19.05
TA-00103,152.4,1.65,35,0,0
TA-00105,41.28,1.65,83,2,101.6
TA-00107,15.88,1.65,138,7,38.1
TA-00109,25.4,3.05,67,2,63.5
TA-00111,25.4,2.41,58,2,63.5
TA-00112,6.35,0.89,66,3,19.05
TA-00113,6.35,0.71,44,3,19.05
TA-00114,6.35,0.89,138,4,19.05
TA-00115,6.35,0.89,50,4,19.05
TA-00116,6.35,0.89,20,2,19.05
TA-00117,15.88,1.24,31,2,38.1
TA-00118,12.7,0.89,116,5,38.1
TA-00119,9.52,0.89,68,3,31.75
TA-00120,9.52,0.89,43,2,31.75
TA-00121,9.52,0.89,43,2,31.75
TA-00122,9.52,0.89,44,2,31.75
TA-00123,19.05,1.24,159,3,38.1
TA-00124,6.35,0.71,29,2,19.05
TA-00125,25.4,2.41,44,2,63.5
TA-00126,19.05,2.11,70,3,50.8
TA-00127,9.52,0.89,19,1,31.75
TA-00128,9.52,0.89,128,10,31.75
TA-00130,6.35,0.89,149,4,38.1
TA-00132,19.05,2.11,72,2,38.1
TA-00136,9.52,0.89,31,2,19.05
