tube_assembly_id,quantity,cost
TA-00002,Yes,1,21.9059330191461
TA-00002,Yes,2,12.3412139792904
TA-00002,Yes,5,6.60182614356538
TA-00002,Yes,10,4.6877695119712
TA-00002,Yes,25,3.54156118026073
TA-00002,Yes,50,3.22440644770007
TA-00002,Yes,100,3.08252143576504
TA-00002,Yes,250,2.99905966403855
TA-00004,Yes,1,21.9727024365273
TA-00004,Yes,2,12.4079833966715
TA-00004,Yes,5,6.66859556094657
TA-00004,Yes,10,4.75453892935239
TA-00004,Yes,25,3.60833059764193
TA-00004,Yes,50,3.29117586508126
TA-00004,Yes,100,3.14929085314623
TA-00004,Yes,250,3.06582908141974
TA-00005,Yes,1,28.3742203279491
TA-00005,Yes,2,16.5143025656149
TA-00005,Yes,5,9.3977954964028
TA-00005,Yes,10,7.02748117937048
TA-00005,Yes,25,5.60306694190504
TA-00005,Yes,50,5.19410426044524
TA-00005,Yes,100,5.00770630358941
TA-00005,Yes,250,4.89642394128743
TA-00012,Yes,1,22.4150498266777
TA-00012,Yes,2,12.8503307868219
TA-00012,Yes,5,7.11372501015452
TA-00012,Yes,10,5.19966837856034
TA-00012,Yes,25,4.05067798779232
TA-00012,Yes,50,3.73630531428921
TA-00012,Yes,100,3.59442030235418
TA-00012,Yes,250,3.51095853062769
TA-00013,No,1,10.0042843709486
TA-00014,Yes,1,21.9949589089877
TA-00014,Yes,2,12.4302398691319
TA-00014,Yes,5,6.69085203340696
TA-00014,Yes,10,4.77957746087034
TA-00014,Yes,25,3.63058707010232
TA-00014,Yes,50,3.31621439659921
TA-00014,Yes,100,3.17432938466418
TA-00014,Yes,250,3.08808555388014
TA-00021,No,1,3.4330608770163
TA-00022,No,1,8.5631777791379
TA-00024,Yes,1,20.9349944080613
TA-00024,Yes,2,11.3702753682055
TA-00024,Yes,5,5.63366959153809
TA-00024,Yes,10,3.71961295994391
TA-00024,Yes,25,2.57340462823345
TA-00024,Yes,50,2.25624989567278
TA-00024,Yes,100,2.11436488373775
TA-00024,Yes,250,2.03090311201126
TA-00025,Yes,1,20.7819811598961
TA-00025,Yes,2,11.2172621200403
TA-00025,Yes,5,5.47787428431531
TA-00025,Yes,10,3.56659971177868
TA-00025,Yes,25,2.41760932101067
TA-00025,Yes,50,2.10323664750755
TA-00025,Yes,100,1.96135163557252
TA-00025,Yes,250,1.87788986384603
TA-00027,No,1,2.73754611262888
TA-00028,Yes,5,16.7090466996433
TA-00028,Yes,10,10.1517335009988
TA-00031,Yes,2,25.0190571045442
TA-00031,Yes,4,14.5863356387329
TA-00031,Yes,6,11.1087618167958
TA-00031,Yes,8,9.3699749058273
TA-00031,Yes,10,8.32670275924617
TA-00031,Yes,12,7.63118799485875
TA-00034,Yes,1,94.0252499680063
TA-00034,Yes,1,4.82965452390623
TA-00034,Yes,6,22.6626530827996
TA-00034,Yes,10,16.9538678967077
TA-00034,Yes,20,11.676301864536
TA-00034,Yes,50,8.96935840154015
TA-00037,No,1,1.56351719034292
TA-00046,No,1,228.148317132476
TA-00047,No,1,7.83427830605988
TA-00048,No,1,2.94063642383
TA-00052,Yes,1,29.5593774864653
TA-00052,Yes,2,17.699459724131
TA-00052,Yes,5,10.582952654919
TA-00052,Yes,10,8.20985627882909
TA-00052,Yes,25,6.7882241004212
TA-00052,Yes,50,6.3792614189614
TA-00052,Yes,100,6.19286346210557
TA-00052,Yes,250,6.08158109980359
TA-00054,Yes,2,38.7874673803575
TA-00054,Yes,3,27.9596935283742
TA-00054,Yes,4,22.5931016063609
TA-00054,Yes,6,16.575507864881
TA-00056,Yes,1,28.646862115589
TA-00056,Yes,2,16.7869443532547
TA-00056,Yes,5,9.67043728404266
TA-00056,Yes,10,7.30012296701034
TA-00056,Yes,25,5.87570872954491
TA-00056,Yes,50,5.46952810714266
TA-00056,Yes,100,5.28034809122928
TA-00056,Yes,250,5.16906572892729
TA-00058,Yes,2,11.9155589434853
TA-00058,Yes,4,8.64663955086438
TA-00058,Yes,6,7.22778943151405
TA-00058,Yes,8,6.45159495445769
TA-00061,Yes,1,21.3217006170607
TA-00061,Yes,2,11.7569815772049
TA-00061,Yes,5,6.02037580053749
TA-00061,Yes,10,4.10631916894332
TA-00061,Yes,25,2.9573287781753
TA-00061,Yes,50,2.64295610467219
TA-00061,Yes,100,2.50107109273716
TA-00061,Yes,250,2.41760932101067
TA-00062,No,60,2.37587843514742
TA-00063,No,40,1.54960689505517
