tube_assembly_id,total weight,NA,,,,,,,,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8
TA-00001,0.096,0.036,0.012,0,0,0,0,0,0,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00002,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00003,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00004,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00005,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00006,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00007,0.096,0.036,0.012,0,0,0,0,0,0,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00008,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00009,0.324,0.129,0.033,0,0,0,0,0,0,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00010,1.566,0.783,0,0,0,0,0,0,0,C-1768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00011,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00012,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00013,0.215,0.215,0,0,0,0,0,0,0,C-1259,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00014,0.096,0.036,0.012,0,0,0,0,0,0,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00015,0.076,0.032,0.006,0,0,0,0,0,0,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00016,1.086,0.636,0.45,0,0,0,0,0,0,C-1349,1,C-1934,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00017,1.087,0.636,0.451,0,0,0,0,0,0,C-1349,1,C-1933,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00018,0.09,0.09,0,0,0,0,0,0,0,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00019,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00020,0.052,0.003,0.023,0,0,0,0,0,0,C-1369,2,C-1374,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00021,0.052,0.003,0.023,0,0,0,0,0,0,C-1369,2,C-1374,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00022,0.018,0.009,0,0,0,0,0,0,0,C-1229,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00023,0.028,0.014,0,0,0,0,0,0,0,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00024,0.028,0.014,0,0,0,0,0,0,0,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00025,0.028,0.014,0,0,0,0,0,0,0,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00026,0.09,0.09,0,0,0,0,0,0,0,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00027,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00028,0.032,0.032,0,0,0,0,0,0,0,C-1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00029,0.055,0.009,0.046,0,0,0,0,0,0,C-1420,1,C-1421,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00030,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00031,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00032,0.016,0.016,0,0,0,0,0,0,0,C-1818,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00033,0.028,0.014,0,0,0,0,0,0,0,C-0823,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00034,0,0,0,0,0,0,0,0,0,C-1362,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00035,0.274,0.009,0.046,0.219,0,0,0,0,0,C-1420,1,C-1421,1,C-1850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00036,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00037,0.024,0.019,0.005,0,0,0,0,0,0,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00038,0.124,0.015,0.006,0.103,0,0,0,0,0,C-1621,1,C-1628,1,C-0022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00039,0.042,0.016,0.005,0,0,0,0,0,0,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00040,0.069,0.015,0.036,0.006,0.012,0,0,0,0,C-1621,1,C-1622,1,C-1628,1,C-1660,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00041,0.274,0.009,0.046,0.219,0,0,0,0,0,C-1420,1,C-1421,1,C-1850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00042,0.11,0.009,0.046,0,0,0,0,0,0,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00043,1.522,0.225,1.297,0,0,0,0,0,0,C-1642,1,C-0023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00044,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00045,1.232,0.509,0.15,0.032,0,0,0,0,0,C-0024,2,C-0025,1,C-0026,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
